col_01,col_02,col_03,col_04,col_05,col_06,col_07,col_08,col_09,col_10,col_11,col_12,col_13,col_14,col_15
"model: AEN ~ env_group * plant_density + Nc, random = ~ 1 | reference_ID/site_year_ID",,,,,,,,,,,,,,
,numDF,denDF,F-value,p-value,,,,,,,,,,
(Intercept),1,398,596.503,<.0001,,,,,,,,,,
env_group,2,398,9.316,0.0001,,,,,,,,,,
plant_density,2,398,10.6017,<.0001,,,,,,,,,,
"ns(Nc, df = 4)",1,398,22.9096,<.0001,,,,,,,,,,
env_group:plant_density,4,398,1.442,0.2193,,,,,,,,,,
env_group,plant_density,estimate_model,SE,df,lower.CL,upper.CL,metric,response_estimate,response_lwr,response_upr,k,n_ref,n_sy,
Normal,Conventional,18.1944103400953,1.56045291277256,113,15.1028716775189,21.2859490026716,AEN,18.1944103400953,15.1028716775189,21.2859490026716,46,11,22,
PFR,Conventional,14.1564379891562,1.54016449552769,113,11.1050943403489,17.2077816379634,AEN,14.1564379891562,11.1050943403489,17.2077816379634,64,13,25,
GFR,Conventional,15.5157664107865,1.78667196512483,113,11.9760470047643,19.0554858168086,AEN,15.5157664107865,11.9760470047643,19.0554858168086,37,8,14,
Normal,High,20.5749159992742,1.09792524348411,113,18.3997280707779,22.7501039277704,AEN,20.5749159992742,18.3997280707779,22.7501039277704,124,34,58,
PFR,High,16.8801651021771,0.987677314025163,113,14.9233982061911,18.8369319981632,AEN,16.8801651021771,14.9233982061911,18.8369319981632,199,43,73,
GFR,High,18.8429569637721,1.49312449276898,113,15.8848080445372,21.8011058830069,AEN,18.8429569637721,15.8848080445372,21.8011058830069,75,17,25,
Normal,Low,18.2675687011453,1.41170625531892,113,15.4707239948447,21.064413407446,AEN,18.2675687011453,15.4707239948447,21.064413407446,59,14,45,
PFR,Low,11.4025034984857,1.34588403569401,113,8.73606448091899,14.0689425160524,AEN,11.4025034984857,8.73606448091899,14.0689425160524,88,18,43,
GFR,Low,8.45342550135734,3.50893283813631,113,1.50159667993653,15.4052543227782,AEN,8.45342550135734,1.50159667993653,15.4052543227782,6,4,4,
contrast,g1,g2,plant_density,estimate,SE,df,t.ratio,p.value,metric,p_lab,response_difference,,,
Normal - PFR,Normal,PFR,Conventional,4.03797235093908,1.94027624809274,399,2.08113270206155,0.0950435810794251,AEN,0.095,4.03797235093908,,,
Normal - GFR,Normal,GFR,Conventional,2.67864392930881,2.22365366729047,399,1.20461381586132,0.451116772717789,AEN,0.451,2.67864392930881,,,
PFR - GFR,PFR,GFR,Conventional,-1.35932842163027,2.25629390750923,399,-0.602460706518,0.818848510107572,AEN,0.819,-1.35932842163027,,,
Normal - PFR,Normal,PFR,High,3.694750897097,1.27226747311484,399,2.90406771781354,0.0108315142998979,AEN,0.011,3.69475089709701,,,
Normal - GFR,Normal,GFR,High,1.7319590355021,1.71193712009933,399,1.01169547360571,0.569896969234982,AEN,0.57,1.7319590355021,,,
PFR - GFR,PFR,GFR,High,-1.9627918615949,1.60235962542689,399,-1.22493841610119,0.439121546581977,AEN,0.439,-1.9627918615949,,,
Normal - PFR,Normal,PFR,Low,6.86506520265963,1.80411540204994,399,3.80522509527891,0.000480257052610455,AEN,<0.001,6.86506520265963,,,
Normal - GFR,Normal,GFR,Low,9.81414319978798,3.57878702034828,176,2.74230993461938,0.0183828476364577,AEN,0.018,9.81414319978798,,,
PFR - GFR,PFR,GFR,Low,2.94907799712835,3.56232932554073,176,0.827851028815454,0.686263636478287,AEN,0.686,2.94907799712835,,,
