public_file,source_data_sheet,source_data_block_label,rows,columns,source
Extended_Data_Figure2_data_set.csv,Extended Data Figure 2,Figure 5 Selected Data set,1152,20,Source Data block
Extended_Data_Figure2a_lnrr_china_usa_model_results.csv,Extended Data Figure 2,Figure 5a_China+USA,24,17,Source Data block
Extended_Data_Figure2b_aen_china_usa_model_results.csv,Extended Data Figure 2,Figure 5b_China+USA,24,14,Source Data block
Extended_Data_Figure2c_lnrr_china_model_results.csv,Extended Data Figure 2,Figure 5c_China,24,17,Source Data block
Extended_Data_Figure2d_aen_china_model_results.csv,Extended Data Figure 2,Figure 5d_China,24,14,Source Data block
Extended_Data_Figure2e_lnrr_usa_model_results.csv,Extended Data Figure 2,Figure 5e_USA,18,17,Source Data block
Extended_Data_Figure2f_aen_usa_model_results.csv,Extended Data Figure 2,Figure 5f_USA,18,14,Source Data block
Extended_Data_Figure2g_yield_china_usa_wilcoxon_tests.csv,Extended Data Figure 2,Figure 5g_China+USA,32,9,Source Data block
Extended_Data_Figure2h_yield_china_wilcoxon_tests.csv,Extended Data Figure 2,Figure5h_China,32,11,Source Data block
Extended_Data_Figure2i_yield_usa_wilcoxon_tests.csv,Extended Data Figure 2,Figure5i_USA,11,11,Source Data block
