"model: lnRR ~ env_group * N_strategy + Nc, random = ~ 1 | reference_ID/site_year_ID",Col_CK,Col_CL,Col_CM,Col_CN,Col_CO,Col_CP,Col_CQ,Col_CR,Col_CS,Col_CT,Col_CU,Col_CV,Col_CW,Col_CX,Col_CY,Col_CZ
,numDF,denDF,F-value,p-value,,,,,,,,,,,,
(Intercept),1,248,326.9986,<.0001,,,,,,,,,,,,
env_group,2,98,0.0379,0.9628,,,,,,,,,,,,
N_strategy,1,248,0.8099,0.369,,,,,,,,,,,,
Nc,1,248,5.5825,0.0189,,,,,,,,,,,,
env_group:N_strategy ,2,248,0.0104,0.9897,,,,,,,,,,,,
N_strategy,env_group,emmean,SE,df,lower.CL,upper.CL,lnRR,lnRR_lwr,lnRR_upr,pct,pct_lwr,pct_upr,k,n_ref,n_sy,n_lab
S,Normal,0.671442635287999,0.0508394750507274,34,0.568124391259563,0.774760879316435,0.671442635287999,0.568124391259563,0.774760879316435,95.7058606910078,76.4953582653515,117.007315576112,148,15,59,n=148
SS,Normal,0.701091386211351,0.0604389085884029,34,0.578264746083414,0.823918026339288,0.701091386211351,0.578264746083414,0.823918026339288,101.595168915936,78.2941887988919,127.9413165624,28,4,7,n=28
S,PFR,0.672973504936474,0.0605974538629665,34,0.549824662044826,0.796122347828121,0.672973504936474,0.549824662044826,0.796122347828121,96.0056902946324,73.2949139468931,121.692776509579,83,16,30,n=83
SS,PFR,0.695723939867578,0.0816546123673982,34,0.529781802223467,0.86166607751169,0.695723939867578,0.529781802223467,0.86166607751169,100.516016401043,69.8561645806701,136.710118426393,14,4,5,n=14
S,GFR,0.688461089497931,0.0581862854203752,34,0.57021233043478,0.806709848561083,0.688461089497931,0.57021233043478,0.806709848561083,99.0649743064234,76.8642548208859,124.052418255729,88,12,35,n=88
SS,GFR,0.709783367136893,0.0682884183521648,34,0.571004603890715,0.848562130383072,0.709783367136893,0.571004603890715,0.848562130383072,103.355067702081,77.0044351985478,133.628516221819,26,6,17,n=26
env_group,df1,df2,F.ratio,p.value,p_lab,,,,,,,,,,,
Normal,1,248,0.661,0.417015237270302,P=0.417,,,,,,,,,,,
PFR,1,248,0.124,0.725234517394351,P=0.725,,,,,,,,,,,
GFR,1,248,0.169,0.681003868972799,P=0.681,,,,,,,,,,,
