col_01,col_02,col_03,col_04,col_05,col_06,col_07,col_08,col_09,col_10,col_11,col_12,col_13,col_14
"model: lnRR ~ env_group * continent + ns(N_rate, df = 4), random = ~ 1 | reference_ID/site_year_ID",,,,,,,,,,,,,
,numDF,denDF,F-value,p-value,,,,,,,,,
(Intercept),1,3306,1148.3573,<.0001,,,,,,,,,
env_group,2,3306,7.6218,0.0005,,,,,,,,,
continent,4,280,3.7488,0.0055,,,,,,,,,
"ns(Nc, df = 4)",4,3306,397.2215,<.0001,,,,,,,,,
env_group:continent,8,3306,2.4951,0.0106,,,,,,,,,
env_group,continent,emmean,SE,df,lower.CL,upper.CL,pct,pct_lwr,pct_upr,k,n_ref,n_sy,n_lab
Normal,Africa,0.783997462862431,0.0712092222489769,284,0.643832636553865,0.924162289170997,119.021007275933,90.3763347859866,151.975654863251,117,9,29,n=117
PFR,Africa,0.731076023148536,0.0978354081283523,284,0.538501486395536,0.923650559901536,107.7314644165,71.3437328278113,151.846744531874,20,4,4,n=20
GFR,Africa,0.880300277156671,0.0925073512777441,284,0.698213232605405,1.06238732170794,141.162375322799,101.015781236907,189.326991709128,38,5,10,n=38
Normal,Asia,0.476725515167541,0.0263490600731736,280,0.42485811501958,0.528592915315502,61.0791245603457,52.9373409152264,69.6543448045797,622,74,145,n=622
PFR,Asia,0.397452648766627,0.0223526211941509,280,0.353452128648902,0.441453168884352,48.8029332274424,42.397481772125,55.4965204547961,980,107,221,n=980
GFR,Asia,0.451923045800751,0.0319617309642756,280,0.389007257353581,0.514838834247921,57.1331023404198,47.5515259630152,67.3368790324389,424,49,78,n=424
Normal,Europe,0.584747472485317,0.0802038101248577,280,0.426868477880406,0.742626467090229,79.453775825602,53.2451097252731,110.144765570646,59,7,16,n=59
PFR,Europe,0.589812833904578,0.0781246043765756,280,0.436026698636455,0.743598969172701,80.3650801525881,54.6550084976656,110.349231198294,54,9,13,n=54
GFR,Europe,0.537453497173195,0.0671963048991793,280,0.405179418895216,0.669727575451173,71.1642605014498,49.9571527388494,95.3705010925974,113,12,24,n=113
Normal,North America,0.617726921791949,0.0332102815047365,280,0.55235339594135,0.683100447642548,85.4707351820664,73.733685203951,98.0007133826337,695,38,126,n=695
PFR,North America,0.568415993118931,0.0421925573011251,280,0.485361104378088,0.651470881859774,76.5468321445662,62.4761611456715,91.8360436417289,331,24,45,n=331
GFR,North America,0.558021052444961,0.0356690630022158,280,0.487807482833712,0.62823462205621,74.7211436992875,62.8741259135909,87.4298811082046,549,32,94,n=549
Normal,South America,0.639907222854478,0.0574804791427234,280,0.52675848039032,0.753055965318636,89.6304937384253,69.3434102310769,112.347939057152,83,17,24,n=83
PFR,South America,0.476438031859953,0.0637378406738631,280,0.350971845300834,0.601904218419072,61.0328236565211,42.044733308186,82.5591818214761,55,10,14,n=55
GFR,South America,0.290020144948901,0.0768807046916725,280,0.138682592002941,0.441357697894861,33.6454410560104,14.875941670441,55.4816757567562,30,6,13,n=30
contrast,g1,g2,continent,estimate,SE,df,t.ratio,p.value,p_lab,,,,
Normal - PFR,Normal,PFR,Africa,0.0529214397138947,0.0870361168792559,3310,0.608039990884611,0.81573794661501,0.816,,,,
Normal - GFR,Normal,GFR,Africa,-0.09630281429424,0.0841869048167309,3310,-1.14391679446922,0.487083380351085,0.487,,,,
PFR - GFR,PFR,GFR,Africa,-0.149224254008135,0.104407759461585,3310,-1.42924486434401,0.325919221729288,0.326,,,,
Normal - PFR,Normal,PFR,Asia,0.0792728664009143,0.0292834243713037,3310,2.70709003823329,0.0187049986800781,0.019,,,,
Normal - GFR,Normal,GFR,Asia,0.0248024693667898,0.0376902675952027,3310,0.658060315017417,0.787797091454103,0.788,,,,
PFR - GFR,PFR,GFR,Asia,-0.0544703970341245,0.0337823293987985,3310,-1.61239316540622,0.240478900026038,0.24,,,,
Normal - PFR,Normal,PFR,Europe,-0.00506536141926053,0.0905758355437392,561,-0.0559239822503703,0.998277225824363,0.998,,,,
Normal - GFR,Normal,GFR,Europe,0.0472939753121225,0.0784379617004216,561,0.602947530594338,0.818560420104068,0.819,,,,
PFR - GFR,PFR,GFR,Europe,0.052359336731383,0.0686322051400342,561,0.762897485583499,0.725927852075233,0.726,,,,
Normal - PFR,Normal,PFR,North America,0.0493109286730182,0.041397011377898,561,1.19117122303533,0.458916792998011,0.459,,,,
Normal - GFR,Normal,GFR,North America,0.0597058693469876,0.0342378972588608,561,1.7438532774245,0.189884426077272,0.19,,,,
PFR - GFR,PFR,GFR,North America,0.0103949406739694,0.0425143823595117,561,0.244504097132762,0.967583480900159,0.968,,,,
Normal - PFR,Normal,PFR,South America,0.163469190994525,0.0596161010375723,3310,2.74203089684615,0.0168926586778415,0.017,,,,
Normal - GFR,Normal,GFR,South America,0.349887077905577,0.0801274301678459,3310,4.36663296417538,3.86668246412647e-05,<0.001,,,,
PFR - GFR,PFR,GFR,South America,0.186417886911052,0.0676314324732633,3310,2.75637939481391,0.0161944679043275,0.016,,,,
