region,lon,lat,n,Normal_n,PFR_n,GFR_n,Normal_percen,PFR_percen,GFR_percen
Europe,0.6,58.6,56,18,14,24,32.1,25,42.9
South America,-42.8,-34,50,21,14,15,42,28,30
West Africa,-8.85,-2.2,11,4,2,5,36.4,18.2,45.5
East Africa,49.67,-6.5,36,29,2,5,80.6,5.6,13.9
South Asia,63.8,13.5,48,7,25,16,14.6,52.1,33.3
Northeast China,140,39.9,86,57,23,6,66.3,26.7,7
North China Plain,129.4,29.5,141,23,115,3,16.3,81.6,2.1
Southwest China,101,13.4,24,1,3,20,4.2,12.5,83.3
Northwest China,107.3,51.6,133,61,48,24,45.9,36.1,18
North America_Irrigated,-125.7,36.6,71,9,19,43,12.7,26.8,60.6
North America_Rainfed,-64.5,39.7,178,105,23,50,59,12.9,28.1
