col_01,col_02,col_03,col_04,col_05,col_06,col_07,col_08,col_09,col_10,col_11
"model: AEN ~ env_group * continent + ns(N_rate, df = 3), random = ~ 1 | reference_ID/site_year_ID",,,,,,,,,,
,numDF,denDF,F-value,p-value,,,,,,
(Intercept),1,950,1486.3112,<.0001,,,,,,
env_group,2,950,7.5577,0.0006,,,,,,
continent,4,225,5.2146,0.0005,,,,,,
"ns(Nc, df = 4)",4,950,27.8268,<.0001,,,,,,
env_group:continent,8,950,0.9754,0.4537,,,,,,
env_group,continent,emmean,SE,df,lower.CL,upper.CL,k,n_ref,n_sy,n_lab
Normal,Africa,11.745004484247,2.5859774106239,229,6.64965333915905,16.8403556293349,68,8,28,n=68
PFR,Africa,12.2989744818642,4.92654544837042,229,2.59182124512131,22.0061277186072,5,3,3,n=5
GFR,Africa,12.2804074658803,3.34296570175994,229,5.693503788194,18.8673111435665,14,4,9,n=14
Normal,Asia,20.3001172871834,0.941738949857384,225,18.4443609893817,22.155873584985,255,62,127,n=255
PFR,Asia,16.3208963849357,0.801507097701601,225,14.7414758411451,17.9003169287262,461,91,172,n=461
GFR,Asia,17.8348861841419,1.22115863195529,225,15.4285156902708,20.2412566780129,207,37,59,n=207
Normal,Europe,29.4904298695177,4.13193058109004,225,21.3481987351908,37.6326610038445,11,4,11,n=11
PFR,Europe,26.5434775121456,4.22981155015109,225,18.2083657235807,34.8785893007106,8,5,7,n=8
GFR,Europe,24.9627142807014,3.74234916715162,225,17.58817801822,32.3372505431827,17,6,15,n=17
Normal,North America,23.5078424732112,1.25313033504121,225,21.0384697117137,25.9772152347086,260,31,94,n=260
PFR,North America,22.7886485767754,1.67859938402022,225,19.4808620836572,26.0964350698935,102,17,34,n=102
GFR,North America,22.1675447300826,1.54262514655017,225,19.127704091346,25.2073853688193,130,20,47,n=130
Normal,South America,22.131652613615,2.3355042216099,225,17.5293934966365,26.7339117305935,34,13,17,n=34
PFR,South America,24.5399023078302,2.94616224205128,225,18.7343028517813,30.3455017638791,19,6,8,n=19
GFR,South America,20.6236779286437,3.41613955294239,225,13.8919583894845,27.3553974678028,10,4,9,n=10
contrast,g1,g2,continent,estimate,SE,df,t.ratio,p.value,p_lab,
Normal - PFR,Normal,PFR,Africa,-0.553969997617276,5.17989127152898,954,-0.106946259791618,0.993714207555072,0.994,
Normal - GFR,Normal,GFR,Africa,-0.535402981633304,3.06073521593624,954,-0.174926265704278,0.983272650845838,0.983,
PFR - GFR,PFR,GFR,Africa,0.0185670159839719,5.09678960805737,954,0.00364288452374409,0.999992683557568,1,
Normal - PFR,Normal,PFR,Asia,3.97922090224772,1.06508615391431,954,3.73605542389567,0.000579882150959832,<0.001,
Normal - GFR,Normal,GFR,Asia,2.46523110304151,1.43100412690756,954,1.72272815758327,0.197187607720748,0.197,
PFR - GFR,PFR,GFR,Asia,-1.5139897992062,1.32478951936831,954,-1.14281535071934,0.48794411084538,0.488,
Normal - PFR,Normal,PFR,Europe,2.94695235737204,4.06780520630939,404,0.724457590250673,0.749137864909496,0.749,
Normal - GFR,Normal,GFR,Europe,4.52771558881626,3.39064296646391,404,1.33535604709752,0.376390785003491,0.376,
PFR - GFR,PFR,GFR,Europe,1.58076323144422,3.27650179278158,404,0.482454560204051,0.879655681000035,0.88,
Normal - PFR,Normal,PFR,North America,0.719193896435819,1.74961284705271,404,0.41105887948144,0.911099733617463,0.911,
Normal - GFR,Normal,GFR,North America,1.34029774312855,1.5686233599037,404,0.854442039681742,0.66932005456626,0.669,
PFR - GFR,PFR,GFR,North America,0.62110384669273,1.86718878184086,404,0.332641162336239,0.940841018101848,0.941,
Normal - PFR,Normal,PFR,South America,-2.40824969421521,3.05773295670298,954,-0.787593203303117,0.710757969550783,0.711,
Normal - GFR,Normal,GFR,South America,1.50797468497134,3.71240399767016,954,0.40619897131824,0.913083848083443,0.913,
PFR - GFR,PFR,GFR,South America,3.91622437918656,3.47511578663838,954,1.12693349506345,0.497671499899822,0.498,
